,matched_merk,matched_handelsbenaming,symptoom,count_sleuteltijd_incident_merk,average_sleuteltijd_incident_merk,suggestie
62144,FORD,FUSION,Koppeling,266.0,19.612781954887218,21.50493070066611
62150,VOLVO,V50,Stuurinrichting,211.0,25.218009478672986,27.631186953437794
62163,SKODA,OCTAVIA,Vloeistoffen,26.0,19.423076923076923,21.281224263430087
62167,MITSUBISHI,COLT,Koelprobleem,80.0,27.6375,30.04392854425549
62182,HONDA,CIVIC,Versnellingsbak,221.0,23.36651583710407,25.568998449652174
62185,MINI,MINI COOPER S,Lekke band,58.0,22.74137931034483,24.39426204207866
62200,FIAT,BRAVO,Koelprobleem,60.0,26.933333333333334,29.79059882706942
62201,AUDI,Q5,Controlelampjes / dashboardmeldingen,99.0,30.292929292929294,32.94862468138962
62240,PEUGEOT,PARTNER,Verkeerde brandstof,34.0,56.705882352941174,59.571635326760074
62244,KIA,SPORTAGE,Stottert / verliest vermogen,217.0,26.695852534562214,29.113063527871468
62288,HYUNDAI,IX20,Afgeslagen tijdens rijden,61.0,21.65573770491803,23.94389502783668
62604,KIA,SORENTO,Controlelampjes / dashboardmeldingen,41.0,24.317073170731707,26.746758109656717
62607,VOLKSWAGEN,UP!,Controlelampjes / dashboardmeldingen,431.0,20.647331786542924,22.840454692519895
62628,AUDI,Q3,Stottert / verliest vermogen,59.0,25.966101694915253,28.8199057942749
62653,VOLKSWAGEN,JETTA,Sleutel in voertuig,53.0,22.0188679245283,24.051330789510747
62655,MAZDA,3,Lekke band - geen reserve,158.0,18.132911392405063,19.875721370622006
62656,MAZDA,3,Controlelampjes / dashboardmeldingen,87.0,21.862068965517242,24.077049039501556
62678,HYUNDAI,IX35,Bijgeluiden,39.0,23.794871794871796,26.4397430827712
62747,NISSAN,X-TRAIL,Stottert / verliest vermogen,142.0,25.246478873239436,27.62371040850278
62842,HYUNDAI,TRAJET,Start niet,75.0,21.786666666666665,24.159950399319733
